INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,PRECINCT,JURISDICTION_CODE,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,New Georeferenced Column
230418793,07/02/2021,23:13:00,BRONX,47,0,,false,45-64,M,BLACK,25-44,M,BLACK,"1,023,464","262,043",40.88584267800008,-73.85818261899993,POINT (-73.85818261899993 40.88584267800008)
230448650,07/04/2021,18:20:00,BRONX,41,0,,false,,,,25-44,M,BLACK,"1,015,014","237,387",40.818202824000025,-73.88885544599998,POINT (-73.88885544599998 40.818202824000025)
226803363,04/11/2021,03:00:00,BROOKLYN,77,0,,false,,,,25-44,M,BLACK,"998,039","184,139",40.67209323800005,-73.95029287299997,POINT (-73.95029287299997 40.67209323800005)
228918111,05/31/2021,19:50:00,BROOKLYN,83,0,,false,18-24,M,BLACK HISPANIC,18-24,M,BLACK HISPANIC,"1,009,422","191,993",40.69362562500004,-73.90922848099996,POINT (-73.90922848099996 40.69362562500004)
230563798,07/07/2021,00:28:00,BROOKLYN,75,0,,false,,,,45-64,M,BLACK,"1,018,550","186,754",40.67921511200007,-73.87633862899997,POINT (-73.87633862899997 40.67921511200007)
228426149,05/19/2021,21:36:00,QUEENS,113,0,MULTI DWELL - APT BUILD,false,25-44,M,WHITE,25-44,M,BLACK,"1,049,021","189,295",40.68601904400003,-73.76645659599995,POINT (-73.76645659599995 40.68601904400003)
227953673,05/10/2021,00:01:00,QUEENS,114,0,,true,25-44,M,BLACK,25-44,M,BLACK,"1,000,198","214,660",40.75586246300003,-73.94243750299995,POINT (-73.94243750299995 40.75586246300003)
233149852,09/03/2021,07:02:00,MANHATTAN,33,0,,false,,,,25-44,M,BLACK,"1,002,656","246,987",40.84458645600006,-73.93347680199997,POINT (-73.93347680199997 40.84458645600006)
231637053,07/31/2021,22:36:00,QUEENS,115,0,,false,,,,45-64,M,BLACK HISPANIC,"1,018,623","214,936",40.75656758500002,-73.87593153399997,POINT (-73.87593153399997 40.75656758500002)
227950648,05/06/2021,11:00:00,BROOKLYN,67,0,,false,,,,25-44,M,BLACK,"1,000,243","171,648",40.63780446800007,-73.94237719699998,POINT (-73.94237719699998 40.63780446800007)
229822334,06/19/2021,22:05:00,MANHATTAN,25,0,,false,,,,<18,F,BLACK HISPANIC,"1,000,558","231,080",40.80093037300003,-73.94109824099996,POINT (-73.94109824099996 40.80093037300003)
232978166,08/31/2021,19:20:00,BRONX,43,2,MULTI DWELL - PUBLIC HOUS,true,25-44,M,BLACK,18-24,M,BLACK,"1,022,126","238,820",40.82210837100007,-73.86315274099996,POINT (-73.86315274099996 40.82210837100007)
231698072,08/02/2021,23:09:00,BRONX,40,0,,false,,,,<18,M,BLACK,"1,009,097","235,098",40.811938785000045,-73.91024119199994,POINT (-73.91024119199994 40.811938785000045)
229540933,06/14/2021,22:19:00,BROOKLYN,67,0,,false,,,,25-44,M,BLACK,"997,629","172,369",40.63978779400002,-73.95179424699995,POINT (-73.95179424699995 40.63978779400002)
234143776,09/27/2021,03:50:00,MANHATTAN,34,0,,false,25-44,M,BLACK HISPANIC,25-44,M,BLACK HISPANIC,"1,007,258","255,280",40.86733746700002,-73.91681537799997,POINT (-73.91681537799997 40.86733746700002)
224465137,02/16/2021,20:48:00,BRONX,44,0,DEPT STORE,true,45-64,M,BLACK,25-44,M,BLACK,"1,007,961","246,839",40.84416759000004,-73.91430351799994,POINT (-73.91430351799994 40.84416759000004)
233948353,09/23/2021,01:00:00,BROOKLYN,81,0,,false,,,,18-24,M,BLACK,"1,005,863","189,395",40.686504121000034,-73.92207094799994,POINT (-73.92207094799994 40.686504121000034)
228865039,05/28/2021,02:15:00,MANHATTAN,34,0,,false,,,,18-24,M,BLACK HISPANIC,"1,005,250","254,388",40.86489420400005,-73.92407814999996,POINT (-73.92407814999996 40.86489420400005)
227089385,04/18/2021,21:56:00,QUEENS,114,0,,true,,,,18-24,M,BLACK,"1,007,938","217,508",40.76366214500007,-73.91449012799995,POINT (-73.91449012799995 40.76366214500007)
